Course Name,Hours per week,Program,Section,Instructor,Type
Agent Based Modeling (CS-Elective -VI),3,CS VIII,A,Mr.Awais Kamran,Theory
Digital Finance and Blockchain Technologies (CS-Elective VI),3,CS VIII+VI,A,Dr.Shamweel Qamar,Theory
Digital Finance and Blockchain Technologies (CS-Elective VI),3,CS VIII+VI,B,Dr.Shamweel Qamar,Theory
Numerical Computing- (CS Supporting - III),3,CS VIII,A,Dr.Shamweel Qamar,Theory
Numerical Computing- (CS Supporting - III),3,CS VIII,B,Dr.Arslan Siddique,Theory
University Elective - IV (Any Humanities elective),3,CS VIII,A,From other Department,Theory
Project Part II,3,CS VIII,A,TBD,Theory
Islamic Studies,2,CS VIII,A,RO,Theory
Project Part I (Repeat),3,Repeat,A,TBD,Theory
Data Analytics (CS-Elective - V),3,CS VI,A,Mr.Muhamamd Asad,Theory
Artificial Neural Network & Deep Learning (CS-Elective - V),3,CS VI,A,Dr.Shamweel Qamar,Theory
DevOps and Cloud Computing Foundations (CS-Elective -VI),3,CS VI,A,Mr.Muhammad Ali,Theory
Computer Vision (CS-Elective -VI),3,CS VI,A,Dr.Arslan Siddique,Theory
Digital Finance and Blockchain Technologies (CS-Elective -VI),3,CS VIII+VI,A,Dr.Shamweel Qamar,Theory
Digital Finance and Blockchain Technologies (CS-Elective -VI),3,CS VIII+VI,B,Dr.Shamweel Qamar,Theory
Professional Practices,3,CS VI,A,Ms.Noreen Khalid,Theory
Professional Practices,3,CS VI,B,Ms.Noreen Khalid,Theory
Professional Practices,3,CS VI,C,Ms.Nimra Abbas,Theory
Theory of Automata,3,CS VI,A,Ms.Nimra Abbas,Theory
Theory of Automata,3,CS VI,B,Ms.Nimra Abbas,Theory
Theory of Automata,3,CS VI,C,Ms.Sheeza Batool,Theory
Computer Networks,2,CS VI,A,Ms.Shazia Rizwan,Theory
Computer Networks,2,CS VI,B,Ms.Shazia Rizwan,Theory
Computer Networks,2,CS VI,C,Ms.Shazia Rizwan,Theory
Computer Networks LAB,1,CS VI,A,Ms.Taqdees Gull,Lab
Computer Networks LAB,1,CS VI,B,Ms.Taqdees Gull,Lab
Computer Networks LAB,1,CS VI,C,Ms.Taqdees Gull,Lab
HCI & Computer Graphics,2,CS VI,A,Ms.Hamna Anwar,Theory
HCI & Computer Graphics,2,CS VI,B,Ms.Hamna Anwar,Theory
HCI & Computer Graphics,2,CS VI,C,Ms.Hamna Anwar,Theory
HCI & Computer Graphics Lab,1,CS VI,A,Ms.Rameen Shahram,Lab
HCI & Computer Graphics Lab,1,CS VI,B,Ms.Rameen Shahram,Lab
HCI & Computer Graphics Lab,1,CS VI,C,Ms.Rameen Shahram,Lab
Artificial Intelligence,2,CS IV,A,Ms. Noreen Khalid,Theory
Artificial Intelligence,2,CS IV,B,Ms. Noreen Khalid,Theory
Artificial Intelligence,2,CS IV,C,Ms. Noreen Khalid,Theory
Artificial Intelligence,2,CS IV,D,Mr.Saad Azhar,Theory
Artificial Intelligence LAB,1,CS IV,A,Mr.Muhammad Abubakar,Lab
Artificial Intelligence LAB,1,CS IV,B,Mr.Muhammad Abubakar,Lab
Artificial Intelligence LAB,1,CS IV,C,Mr.Muhammad Abubakar,Lab
Artificial Intelligence LAB,1,CS IV,D,Mr.Muhammad Abubakar,Lab
Analysis of Algorithms,3,CS IV,A,Mr.Zaman Aziz,Theory
Analysis of Algorithms,3,CS IV,B,New Faculty-1,Theory
Analysis of Algorithms,3,CS IV,C,New Faculty-2,Theory
Analysis of Algorithms,3,CS IV,D,New Faculty-2,Theory
Mobile Computing (CS-Elective - I),3,CS IV,A,Mr.Asim Irshad,Theory
Web Engineering (CS-Elective - I),3,CS IV,A,Mr.Nouman Ali,Theory
Intro to Data Science (CS-Elective - I),3,CS IV,A,Mr.Muhammad Asad,Theory
Natural Language Processing (CS-Elective - I),3,CS IV,A,Ms.Huda Sarfraz,Theory
Comp Organization & Assembly Language,2,CS IV,A,Ms.Nimra Abbas,Theory
Comp Organization & Assembly Language,2,CS IV,B,Ms.Sheeza Batool,Theory
Comp Organization & Assembly Language,2,CS IV,C,Ms.Sheeza Batool,Theory
Comp Organization & Assembly Language,2,CS IV,D,Ms.Sheeza Batool,Theory
Comp Organization & Assembly Language,1,CS IV,A,Mr.Uzair Bashir,Lab
Comp Organization & Assembly Language,1,CS IV,B,Mr.Uzair Bashir,Lab
